business_name,contact_name,email,phone,industry,city,source,status,notes,last_contact
"Stan's Heating, Air, Plumbing & Electrical","","","(512) 271-5044","hvac","Austin","ThreeBestRated","not_contacted","71 years experience, NATE certified, top rated"
"Fox Service Company","","","(512) 488-1120","hvac","Austin","ThreeBestRated","not_contacted","50 years experience, Lennox Premier Dealer"
"Strand Brothers Service Experts","","","(512) 592-3072","hvac","Austin","ThreeBestRated","not_contacted","High volume, likely busy"
"The Chill Brothers","","","","hvac","Austin","WebSearch","not_contacted","#1 rated Austin 2025, NATE certified, 24/7"
"Gold Eagle Services","","","","hvac","Austin","WebSearch","not_contacted","BBB A+ rating, Best Pick certified"
"Precision Heating & Air","","","","hvac","Austin","WebSearch","not_contacted","24/7 emergency, no surcharge"
"Classic Air Conditioning and Heating","","","(830) 358-1499","hvac","Austin","WebSearch","not_contacted","Website: classicairconditioningandheating.com"
"Abacus Plumbing","","","(512) 943-7070","plumbing","Austin","WebSearch","not_contacted","24/7 emergency, since 2003"
"Cold Is on the Right Plumbing & Air","","","(512) 271-2172","plumbing","Austin","WebSearch","not_contacted","Master plumber, 20+ years"
"Benjamin Franklin Plumbing South Austin","","","(512) 436-0832","plumbing","Austin","WebSearch","not_contacted","100% guarantee, 2 year warranty"
"Brad B Plumbing Services","","","(512) 402-6901","plumbing","Austin","WebSearch","not_contacted","Family-owned"
"G & M Plumbing Inc","","","(512) 990-0505","plumbing","Austin","WebSearch","not_contacted","Since 1987, Mon-Fri only"
"Plumbing Outfitters","","","(737) 313-8208","plumbing","Austin","WebSearch","not_contacted","50+ years combined experience"
"1st Home & Commercial Services","","","(512) 957-2992","plumbing","Austin","WebSearch","not_contacted","24/7 emergency, military discount"
"Loewy Law Firm","","","(512) 280-0800","personal_injury_lawyer","Austin","WebSearch","not_contacted","15 years, contingency based"
"FVF Law Firm","","","(512) 910-7536","personal_injury_lawyer","Austin","WebSearch","not_contacted","Premier PI firm, 24/7"
"Bonilla Law Firm","","","(512) 441-1111","personal_injury_lawyer","Austin","WebSearch","not_contacted","30+ years, family owned"
"McMinn Personal Injury Lawyers","","","(512) 474-0222","personal_injury_lawyer","Austin","WebSearch","not_contacted","40+ years, $200M+ recovered"
"Smith & Vinson Law Firm","","","(512) 359-3743","personal_injury_lawyer","Austin","WebSearch","not_contacted","Free consultations"
"Byrd Davis Alden & Henrichson","","","(512) 454-3751","personal_injury_lawyer","Austin","WebSearch","not_contacted","Austin's oldest PI firm, since 1959"
"Lorenz & Lorenz","","","(512) 477-7333","personal_injury_lawyer","Austin","WebSearch","not_contacted","Since 2001, 24/7/365"
"Wayne Wright LLP","","","(512) 543-4397","personal_injury_lawyer","Austin","WebSearch","not_contacted","Wide range of services"
"Ramos James Law PLLC","","","(512) 537-3369","personal_injury_lawyer","Austin","WebSearch","not_contacted","20+ years combined experience"
"ATX Family Dentistry","","","(512) 717-0989","dentist","Austin","WebSearch","not_contacted","South Austin"
"North Austin Dentistry","","","(512) 458-3111","dentist","Austin","WebSearch","not_contacted","Dr. Logan Miller DDS"
"Austin General Dentistry","","","(512) 346-5540","dentist","Austin","WebSearch","not_contacted","Drs. Ryan and Lauren Loveless"
"Austin Advanced Dentistry","","","(512) 886-6734","dentist","Austin","WebSearch","not_contacted","10125 Lakecreek Pkwy"
"Austin Dental Center","","","(512) 454-0414","dentist","Austin","WebSearch","not_contacted","Dr. John Glennon DDS"
